epsilon_progress,nfe
0,0
63,100
381,1100
612,2100
763,3100
907,4100
1034,5100
1154,6100
1266,7100
1368,8100
1469,9100
1548,11491
1801,13479
2021,15467
2205,17455
2327,19443
2439,21431
2532,23419
2615,25407
2677,27395
2721,29383
2754,31371
2777,33359
2797,35347
2811,37335
2825,39323
2838,41311
2845,43299
2850,45287
2856,47275
2861,49263
2867,51251
2873,53239
2879,55227
2886,57215
2890,59203
2892,61191
2898,63179
2905,65167
2910,67155
2912,69143
2915,71131
2919,73119
2920,75107
2925,77095
2931,79083
2933,81071
2936,83059
2938,85047
2938,87035
2938,89023
2941,91011
2942,92999
2944,94987
2944,96975
2944,98963
2946,100951
