epsilon_progress,nfe
0,0
83,100
396,1100
629,2100
813,3100
963,4100
1133,5100
1282,6100
1457,7100
1602,8100
1746,9100
1881,12880
2877,16720
3730,20560
4536,24400
5307,28240
6029,32080
6689,35920
7307,39760
7870,43600
8378,47440
8813,51280
9211,55120
9568,58960
9881,62800
10181,66640
10448,70480
10682,74320
10923,78160
11155,82000
11381,85840
11544,89680
11716,93520
11887,97360
12062,101200
12205,105040
12356,108880
12493,112720
12597,116560
12704,120400
12803,124240
12901,128080
12972,131920
13052,135760
13124,139600
13188,143440
13248,147280
13318,151120
13373,154960
13441,158800
13489,162640
13541,166480
13592,170320
13640,174160
13690,178000
13729,181840
13763,185680
13789,189520
13825,193360
13858,197200
13896,201040
