0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,1,1,1,1,0,0,0,3,5,3,5,1,1,1,1,0,1,12857587.774250694,12857587.774250694,0.0,0.0,25037214.086173728,25037214.086173728,0.0,0.0,303800000.0,0.0
0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30700000.0,8223.630149244442
0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,0,3,0,0,8453407.696608048,8453407.696608048,0.0,0.0,34517297.25897527,0.0,34517297.25897527,0.0126358513665463,0.0,4879.366753324709
0,1,0,0,0,1,0,0,0,0,0,4,5,0,5,4,3,0,1,1,0,6320800.309666242,6320800.309666242,0.0,0.0,37613248.99727781,25037214.086173728,12576034.911104089,0.0121018648612959,115300000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
