0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,1,1,0,0,1,0,5,5,1,1,4,3,0,3,0,12405059.936009357,8453407.696608048,3951652.239401309,0.000822678587006,224558998.3029633,30351526.042379983,194207472.26058328,0.0720284958071644,242400000.0,8338.506267287557
0,1,0,0,1,1,1,1,1,1,2,3,2,4,1,4,5,0,2,0,0,18280661.70616474,7332080.219521779,10948581.48664296,0.0009554859986454,367235513.418707,0.0,367235513.418707,0.0537298014645477,900600000.0,27625.596863690123
0,0,0,0,0,0,0,1,0,0,2,1,1,1,5,2,3,0,1,4,0,51191958.70218015,6320800.309666242,44871158.3925139,0.0037035795391991,171893057.36824283,33377116.55719709,138515940.81104574,0.0208763268741545,121200000.0,12781.949199400664
0,0,0,0,0,0,1,1,1,0,1,4,3,5,5,3,0,1,0,0,0,25704799.82022601,6320800.309666242,19383999.510559767,0.0037018937953085,354894211.8260462,0.0,354894211.8260462,0.1246476411929395,498500000.0,16619.472714105108
0,0,0,0,0,0,0,0,0,0,0,5,1,5,5,0,0,4,0,0,3,14153087.622248463,9695195.36216505,4457892.260083413,0.002838645572991,566045947.1164075,30351526.042379983,535694421.07402754,0.5612387518438674,0.0,0.0
0,0,0,0,0,0,1,1,0,0,1,4,4,5,1,1,1,0,5,0,0,24894197.870580044,11068771.68625446,13825426.184325583,0.0031467816640495,357345246.0236387,0.0,357345246.0236387,0.1237138162648724,242400000.0,16424.15023957778
0,0,0,0,0,0,1,0,0,0,2,0,2,5,0,2,3,0,3,3,0,35721108.235153235,8453407.696608048,27267700.538545188,0.0024935250954297,339951806.327386,30351526.042379983,309600280.285006,0.046188201308826,121200000.0,23501.75265079378
0,0,0,0,0,0,1,1,0,0,1,4,4,5,2,1,1,0,3,0,0,24612198.838156298,8453407.696608048,16158791.14154825,0.0035691750020474,356255887.1538993,0.0,356255887.1538993,0.123313085196512,242400000.0,16479.408419386313
0,0,0,0,1,0,1,1,0,1,1,1,3,0,1,4,0,0,2,0,0,22759371.158881668,7332080.219521779,15427290.939359888,0.0032552902627106,357851040.37646353,0.0,357851040.37646353,0.1243428667527882,529200000.0,16516.630940401476
0,0,0,0,0,0,1,1,1,0,2,0,5,4,5,1,0,2,1,1,0,17514919.882691115,14092235.304915495,3422684.5777756185,0.0003060495029924,310081522.97226936,25037214.086173728,285044308.88609564,0.0428337715499857,498500000.0,20770.15579575273
