0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Overijssel_RfR_num,Scenario,cluster,TotalCost
0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,5,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Best,0,0.0
0,1,0,0,0,1,0,0,0,0,0,4,5,0,5,4,3,0,1,1,0,6320800.309666242,6320800.309666242,0.0,0.0,37613248.99727781,25037214.086173728,12576034.911104089,0.0121018648612959,115300000.0,0.0,0.0121018648612959,12576034.911104089,31358014.39583997,0,Best,1,159234049.30694407
0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,5,0,3,0,0,8453407.696608048,8453407.696608048,0.0,0.0,34517297.25897527,0.0,34517297.25897527,0.0126358513665463,0.0,4879.366753324709,0.0126358513665463,34517297.25897527,8453407.696608048,0,Best,2,42975584.322336644
0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,1,5,5,5,0,24623296.53676105,24162426.948826768,460869.5879342828,4.360199651194607e-05,321838766.93521726,36676675.840294495,285162091.0949228,0.0370088040083537,0.0,23379.01080542827,0.0370524060048656,285622960.68285704,60839102.78912126,0,Worst,0,346485442.48278373
0,0,0,0,0,1,0,0,0,0,0,5,2,1,5,1,5,4,0,5,3,14343407.800968068,9695195.36216505,4648212.438803017,0.0030442360013228,238243221.6841818,72580607.18485624,165662614.49932557,0.1979954258804335,30700000.0,0.0,0.2010396618817563,170310826.9381286,82275802.54702128,0,Worst,1,283286629.48514986
0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,3,0,0,2,5,3,52254465.31038442,7332080.219521779,44922385.09086265,0.0039139293267064,113139787.07139383,72580607.18485624,40559179.8865376,0.0075329566097719,0.0,7158.268872754287,0.0114468859364783,85481564.97740024,79912687.40437801,0,Worst,2,165401410.650651
0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,1,5,0,0,0,76341914.60551725,11068771.68625446,65273142.9192628,0.0043773051114127,0.0,0.0,0.0,0.0,0.0,8110.699632213914,0.0043773051114127,65273142.9192628,11068771.68625446,0,Worst Dike 4,0,76350025.30514947
0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0,4,5,3,0,1,63691500.46533564,21068617.1353041,42622883.33003154,0.0029180597291611,25037214.086173728,25037214.086173728,0.0,0.0,0.0,5505.780064855127,0.0029180597291611,42622883.33003154,46105831.22147783,0,Worst Dike 4,1,88734220.33157422
0,1,0,0,0,0,0,0,0,0,4,4,3,1,1,4,5,5,4,0,0,58914804.12038435,22537573.22754236,36377230.89284199,0.0025092591173158,43152896.82351743,0.0,43152896.82351743,0.005881127351183,84600000.0,8683.936997446603,0.0083903864684988,79530127.7163594,22537573.22754236,0,Worst Dike 4,2,186676384.88089922
0,0,0,0,0,0,0,0,0,0,1,4,2,1,4,2,0,0,0,5,0,1675428.0144974417,0.0,1675428.0144974417,0.0003514574812768,454202380.0950012,36676675.840294495,417525704.2547067,0.1695733652243923,0.0,18166.31321756968,0.169924822705669,419201132.26920414,36676675.840294495,0,Worst Dike 5,0,455895974.4227162
0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,1,1,0,0,5,3,0.0,0.0,0.0,0.0,273873054.890917,72580607.18485624,201292447.7060608,0.0327810833571113,0.0,23858.58730781925,0.0327810833571113,201292447.7060608,72580607.18485624,0,Worst Dike 5,1,273896913.4782249
0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,4,5,2,0,5,0,7332080.219521779,7332080.219521779,0.0,0.0,428259753.2768654,36676675.840294495,391583077.4365709,0.1587272474107121,0.0,19903.96097333636,0.1587272474107121,391583077.4365709,44008756.05981627,0,Worst Dike 5,2,435611737.45736045
