z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Az4_Total_Costs,z_Az4_Dike_Investment_Costs,z_Az4_Expected_Annual_Damage,z_Az4_Expected_Number_of_Deaths,z_Az5_Total_Costs,z_Az5_Dike_Investment_Costs,z_Az5_Expected_Annual_Damage,z_Az5_Expected_Number_of_Deaths,z_RfR_Total_Costs,z_Expected_Evacuation_Costs
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,8,6,9,1,4,1,3,1,10,4,5,6,2,42035514.24757925,41432145.65564127,603368.591937992,0.000426225300839,124227868.29395393,124227868.29395393,0.0,0.0,504600000.0,0.0
1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,5,6,10,0,2,9,0,6,1,1,2,6,4,8,21302684.77939528,20699316.18745729,603368.591937992,0.000153441108302,148923002.93082625,148923002.93082625,0.0,0.0,571300000.0,22.450693761872092
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,10,6,2,3,7,6,2,5,4,2,10,5,31436225.70780864,31436225.70780864,0.0,0.0,149404729.8227066,144689217.6625127,4715512.160193921,0.00080035706209,363800000.0,13605.265871159902
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,0,6,3,6,0,9,4,0,9,5,5,5,10,33121261.295656584,33121261.295656584,0.0,0.0,161471684.02738547,161471684.02738547,0.0,0.0,236500000.0,978.228504488305
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,62131454.66322658,62131454.66322658,0.0,0.0,125937902.45636173,125937902.45636173,0.0,0.0,303800000.0,8813.364549559621
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,4,10,10,5,4,9,8,6,0,1,5,5,2,1,4,31308878.06170146,31308878.06170146,0.0,0.0,91272705.03772748,91272705.03772748,0.0,0.0,438700000.0,4273.146448271331
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,32086954.447517466,32086954.447517466,0.0,0.0,176258666.07324398,176258666.07324398,0.0,0.0,388400000.0,2322.7290778862816
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,3,0,4,5,0,9,1,7,3,3,10,2,1,0,42740700.06328927,42740700.06328927,0.0,0.0,54355764.74753119,54355764.74753119,0.0,0.0,461900000.0,8673.908435209816
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,17803345.000196747,17803345.000196747,0.0,0.0,71555540.28476302,71555540.28476302,0.0,0.0,523300000.0,293.75903676255103
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,35355667.4624838,34783173.96179851,572493.5006852914,5.89281424604344e-05,142210150.87851104,142210150.87851104,0.0,0.0,542900000.0,36.33768264394738
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,1,9,3,9,9,5,4,10,6,4,8,0,2,0,46988994.146646366,46988994.146646366,0.0,0.0,39505398.45337809,27578229.96765524,11927168.485722847,0.0052331224305022,595100000.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,10,6,3,10,3,6,6,8,0,9,9,0,6,39848512.1960751,39848512.1960751,0.0,0.0,107608403.84178664,107608403.84178664,0.0,0.0,425300000.0,129.2947474489995
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,3,0,9,3,10,6,5,9,10,6,8,8,10,2,65573808.29715143,65573808.29715143,0.0,0.0,175074214.63535812,175074214.63535812,0.0,0.0,273100000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,10,8,2,1,10,7,10,4,3,2,5,4,8,9,29656749.941971824,29656749.941971824,0.0,0.0,168303079.6125885,168303079.6125885,0.0,0.0,535300000.0,0.0
0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,3,0,9,1,4,5,8,3,5,6,3,0,2,2,2,2,16563094.679399516,16563094.679399516,0.0,0.0,88618770.75980482,88618770.75980482,0.0,0.0,554000000.0,8395.98914311862
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,10,7,7,0,10,9,0,3,5,10,1,3,4,1,2,41462677.58134803,41462677.58134803,0.0,0.0,94639238.491657,94639238.491657,0.0,0.0,369700000.0,0.0
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,4,6,5,4,8,3,10,8,6,1,10,1,10,3,0,36548870.83523232,36548870.83523232,0.0,0.0,100648702.62958768,100648702.62958768,0.0,0.0,557600000.0,285.464380613727
