z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Az4_Total_Costs,z_Az4_Dike_Investment_Costs,z_Az4_Expected_Annual_Damage,z_Az4_Expected_Number_of_Deaths,z_Az5_Total_Costs,z_Az5_Dike_Investment_Costs,z_Az5_Expected_Annual_Damage,z_Az5_Expected_Number_of_Deaths,z_RfR_Total_Costs,z_Expected_Evacuation_Costs
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,8,6,9,1,4,1,3,1,10,4,5,6,2,45139429.87348138,41432145.65564127,3707284.2178401137,0.0024630237391653,124227868.29395393,124227868.29395393,0.0,0.0,504600000.0,0.0
1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,5,6,10,0,2,9,0,6,1,1,2,6,4,8,28064157.23419469,20699316.18745729,7364841.046737399,0.0015524387653631,148923002.93082625,148923002.93082625,0.0,0.0,571300000.0,242.37378515794865
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,10,6,2,3,7,6,2,5,4,2,10,5,34076676.798649564,31436225.70780864,2640451.090840928,0.0002799915104616,189221187.457063,144689217.6625127,44531969.79455031,0.0074908436443795,363800000.0,2913.167573325813
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,0,6,3,6,0,9,4,0,9,5,5,5,10,38288113.06595542,33121261.295656584,5166851.770298837,0.000377033196217,161471684.02738547,161471684.02738547,0.0,0.0,236500000.0,1387.298535634658
0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,3,9,0,5,8,10,7,10,2,4,1,9,4,9,3,38388541.24022267,38388541.24022267,0.0,0.0,146939260.5410587,141108050.91768646,5831209.623372239,0.0024033529551059,469400000.0,213.11966810620203
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,62131454.66322658,62131454.66322658,0.0,0.0,131051207.03273924,125937902.45636173,5113304.576377517,0.0006976289284717,303800000.0,387.7639827287877
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,4,10,10,5,4,9,8,6,0,1,5,5,2,1,4,33652488.08835264,31308878.06170146,2343610.0266511706,0.0005564781095068,116229113.84289636,91272705.03772748,24956408.805168897,0.0101059977474568,438700000.0,1018.7614984868676
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,32086954.447517466,32086954.447517466,0.0,0.0,176258666.07324398,176258666.07324398,0.0,0.0,388400000.0,127.56328105591231
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,3,0,4,5,0,9,1,7,3,3,10,2,1,0,43370995.77159609,42740700.06328927,630295.7083068164,5.463950297557401e-05,114384557.0482988,54355764.74753119,60028792.30076762,0.0056941206494249,461900000.0,3243.3532840216376
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,18433640.708503563,17803345.000196747,630295.7083068164,0.0001639185089267,82682623.41541511,71555540.28476302,11127083.13065208,0.0045751937427517,523300000.0,430.45419412792825
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,39980530.560161725,34783173.96179851,5197356.598363215,0.0004778324511083,142210150.87851104,142210150.87851104,0.0,0.0,542900000.0,361.8753915787919
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,2,5,9,1,8,8,4,3,6,0,8,4,35288533.576204896,35288533.576204896,0.0,0.0,128188642.16590914,92134101.91956422,36054540.24634493,0.0143118643097331,461900000.0,1878.9131600575824
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,1,9,3,9,9,5,4,10,6,4,8,0,2,0,46988994.146646366,46988994.146646366,0.0,0.0,137318689.846062,27578229.96765524,109740459.87840676,0.0883745914868178,595100000.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,10,6,3,10,3,6,6,8,0,9,9,0,6,39848512.1960751,39848512.1960751,0.0,0.0,107608403.84178664,107608403.84178664,0.0,0.0,425300000.0,196.49260158416237
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,3,0,9,3,10,6,5,9,10,6,8,8,10,2,65573808.29715143,65573808.29715143,0.0,0.0,175074214.63535812,175074214.63535812,0.0,0.0,273100000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,10,8,2,1,10,7,10,4,3,2,5,4,8,9,30306005.845743097,29656749.941971824,649255.9037712731,0.0004758221193893,180384476.16340116,168303079.6125885,12081396.550812626,0.0137571312839884,535300000.0,0.0
0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,3,0,9,1,4,5,8,3,5,6,3,0,2,2,2,2,17823686.09601315,16563094.679399516,1260591.4166136328,0.0001092790059511,112934913.1213958,88618770.75980482,24316142.36159097,0.0032932878604284,554000000.0,1950.2172792253284
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,10,7,7,0,10,9,0,3,5,10,1,3,4,1,2,41462677.58134803,41462677.58134803,0.0,0.0,100470448.11502925,94639238.491657,5831209.623372239,0.0066759804308499,369700000.0,0.0
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,4,6,5,4,8,3,10,8,6,1,10,1,10,3,0,38865495.31059351,36548870.83523232,2316624.475361193,0.0001819926572416,100648702.62958768,100648702.62958768,0.0,0.0,557600000.0,190.32400605446145
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6,4,3,9,6,0,2,5,3,4,6,6,6,3,2,41704940.58229576,41704940.58229576,0.0,0.0,114720639.82105856,114720639.82105856,0.0,0.0,498500000.0,95.05965681168628
