z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Az4_Total_Costs,z_Az4_Dike_Investment_Costs,z_Az4_Expected_Annual_Damage,z_Az4_Expected_Number_of_Deaths,z_Az5_Total_Costs,z_Az5_Dike_Investment_Costs,z_Az5_Expected_Annual_Damage,z_Az5_Expected_Number_of_Deaths,z_RfR_Total_Costs,z_Expected_Evacuation_Costs
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,8,6,9,1,4,1,3,1,10,4,5,6,2,93010457.05805545,41432145.65564127,51578311.40241416,0.021178808685532,124227868.29395393,124227868.29395393,0.0,0.0,504600000.0,0.0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,10,6,2,3,7,6,2,5,4,2,10,5,114366051.58685625,31436225.70780864,82929825.87904762,0.005389381040135,144689217.6625127,144689217.6625127,0.0,0.0,363800000.0,4824.725985119198
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,0,6,3,6,0,9,4,0,9,5,5,5,10,86277870.6175986,33121261.295656584,53156609.321942,0.0026303597837593,161471684.02738547,161471684.02738547,0.0,0.0,236500000.0,4356.566370764364
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,66390212.72809956,62131454.66322658,4258758.064872975,0.0002548969522329,125937902.45636173,125937902.45636173,0.0,0.0,303800000.0,288.8711884411231
0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,4,10,10,5,4,9,8,6,0,1,5,5,2,1,4,97830079.9311368,31308878.06170146,66521201.86943533,0.0096378063533761,91272705.03772748,91272705.03772748,0.0,0.0,438700000.0,2397.040938482433
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,80367211.6812033,32086954.447517466,48280257.23368584,0.0024797864958261,176258666.07324398,176258666.07324398,0.0,0.0,388400000.0,3617.164512506017
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,3,0,4,5,0,9,1,7,3,3,10,2,1,0,104961844.04620536,42740700.06328927,62221143.9829161,0.0030756533767853,69102799.14824489,54355764.74753119,14747034.400713691,0.0007857752338358,461900000.0,5100.925676766803
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,122178287.47043423,17803345.000196747,104374942.47023752,0.0125089638436593,71555540.28476302,71555540.28476302,0.0,0.0,523300000.0,2990.1947287111943
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,101109008.73191676,34783173.96179851,66325834.77011824,0.0040647881734286,142210150.87851104,142210150.87851104,0.0,0.0,542900000.0,4016.526314729843
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,2,5,9,1,8,8,4,3,6,0,8,4,81763989.20621502,35288533.576204896,46475455.630010135,0.0070913902404915,92134101.91956422,92134101.91956422,0.0,0.0,461900000.0,2000.677292152776
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,1,9,3,9,9,5,4,10,6,4,8,0,2,0,68252888.25494534,46988994.146646366,21263894.10829897,0.0095134260449504,48247507.59198058,27578229.96765524,20669277.62432533,0.0118868633087819,595100000.0,0.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,10,6,3,10,3,6,6,8,0,9,9,0,6,53665386.54529773,39848512.1960751,13816874.34922263,0.0008414432264342,107608403.84178664,107608403.84178664,0.0,0.0,425300000.0,933.2490229324428
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,3,0,9,3,10,6,5,9,10,6,8,8,10,2,66351648.41827663,65573808.29715143,777840.1211251966,0.0004438509413778,175074214.63535812,175074214.63535812,0.0,0.0,273100000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,10,8,2,1,10,7,10,4,3,2,5,4,8,9,125406278.89782056,29656749.941971824,95749528.95584874,0.0393811487818385,168303079.6125885,168303079.6125885,0.0,0.0,535300000.0,0.0
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,9,1,3,3,8,3,1,0,6,1,8,4,9,10,91276311.1369361,40699448.9181679,50576862.218768194,0.003436152109441,184174254.6488765,184174254.6488765,0.0,0.0,402100000.0,2942.975390480299
0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,3,0,9,1,4,5,8,3,5,6,3,0,2,2,2,2,162136009.0504482,16563094.679399516,145572914.3710487,0.0055124418364018,88618770.75980482,88618770.75980482,0.0,0.0,554000000.0,8590.754642444681
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,10,7,7,0,10,9,0,3,5,10,1,3,4,1,2,42287024.36694906,41462677.58134803,824346.7856010265,0.0004838961627012,94639238.491657,94639238.491657,0.0,0.0,369700000.0,0.0
1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,3,8,7,7,0,0,4,6,8,9,10,8,3,6,1,7,58403400.05023893,58403400.05023893,0.0,0.0,126815106.79993652,126815106.79993652,0.0,0.0,569600000.0,1090.2900446248866
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,4,6,5,4,8,3,10,8,6,1,10,1,10,3,0,80630876.8699501,36548870.83523232,44082006.03471778,0.0020489301061853,100648702.62958768,100648702.62958768,0.0,0.0,557600000.0,3374.296961826825
