z_0_RfR_0,z_0_RfR_1,z_0_RfR_2,z_1_RfR_0,z_1_RfR_1,z_1_RfR_2,z_2_RfR_0,z_2_RfR_1,z_2_RfR_2,z_3_RfR_0,z_3_RfR_1,z_3_RfR_2,z_4_RfR_0,z_4_RfR_1,z_4_RfR_2,z_EWS_DaysToThreat,z_Az1_DikeIncrease_0,z_Az1_DikeIncrease_1,z_Az1_DikeIncrease_2,z_Az2_DikeIncrease_0,z_Az2_DikeIncrease_1,z_Az2_DikeIncrease_2,z_Az3_DikeIncrease_0,z_Az3_DikeIncrease_1,z_Az3_DikeIncrease_2,z_Az4_DikeIncrease_0,z_Az4_DikeIncrease_1,z_Az4_DikeIncrease_2,z_Az5_DikeIncrease_0,z_Az5_DikeIncrease_1,z_Az5_DikeIncrease_2,z_Az4_Total_Costs,z_Az4_Dike_Investment_Costs,z_Az4_Expected_Annual_Damage,z_Az4_Expected_Number_of_Deaths,z_Az5_Total_Costs,z_Az5_Dike_Investment_Costs,z_Az5_Expected_Annual_Damage,z_Az5_Expected_Number_of_Deaths,z_RfR_Total_Costs,z_Expected_Evacuation_Costs
0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,0,8,6,9,1,4,1,3,1,10,4,5,6,2,58328513.44055824,41432145.65564127,16896367.784916975,0.0094712034526291,280679723.39522696,124227868.29395393,156451855.10127303,0.1594787761146632,504600000.0,0.0
1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,4,5,6,10,0,2,9,0,6,1,1,2,6,4,8,65073735.09288791,20699316.18745729,44374418.905430615,0.0066651590837661,201622027.7258533,148923002.93082625,52699024.79502709,0.0203324391591737,571300000.0,3480.9501502343824
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,5,10,6,2,3,7,6,2,5,4,2,10,5,49734834.181455135,31436225.70780864,18298608.4736465,0.0015765776729515,425033821.9385284,144689217.6625127,280344604.27601576,0.0428242826127849,363800000.0,20321.389671933528
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,0,6,3,6,0,9,4,0,9,5,5,5,10,57526474.39086138,33121261.295656584,24405213.095204797,0.0015676324522682,183184386.2600927,161471684.02738547,21712702.23270722,0.00238869628052,236500000.0,3974.0597495832394
0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,3,9,0,5,8,10,7,10,2,4,1,9,4,9,3,41006842.76927128,38388541.24022267,2618301.529048615,0.000529991859546,272500571.1741328,141108050.91768646,131392520.2564464,0.0501928095387933,469400000.0,5315.665981790331
0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,7,7,6,2,3,3,4,7,8,9,6,3,7,4,62131454.66322658,62131454.66322658,0.0,0.0,223457931.66067627,125937902.45636173,97520029.20431454,0.0119648019224107,303800000.0,7881.495193002331
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,3,5,10,3,1,10,5,4,0,8,5,1,5,10,2,9,32656197.76636343,32086954.447517466,569243.318845968,4.672096298398993e-05,176258666.07324398,176258666.07324398,0.0,0.0,388400000.0,45.02208054328968
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,4,5,1,6,7,0,8,7,3,3,3,0,4,0,4,20643960.943340257,17803345.000196747,2840615.9431435093,0.0006234163349451,481623125.8034632,71555540.28476302,410067585.5187001,0.1100042878357358,523300000.0,11476.88908158844
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,9,2,4,9,3,1,9,4,0,0,6,9,4,7,6,55027858.27276507,34783173.96179851,20244684.310966555,0.0016093002625414,347783405.62587595,142210150.87851104,205573254.7473649,0.0311678271174879,542900000.0,14993.912095467533
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,2,5,9,1,8,8,4,3,6,0,8,4,36970033.00747577,35288533.576204896,1681499.431270874,0.0003874262573146,380959858.6287856,92134101.91956422,288825756.70922136,0.1005656177446917,461900000.0,11587.817817947976
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,10,6,3,10,3,6,6,8,0,9,9,0,6,39848512.1960751,39848512.1960751,0.0,0.0,223865371.74645284,107608403.84178664,116256967.9046662,0.0119003642008052,425300000.0,6790.84220930083
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,7,3,0,9,3,10,6,5,9,10,6,8,8,10,2,65573808.29715143,65573808.29715143,0.0,0.0,186586526.46316117,175074214.63535812,11512311.82780301,0.0127503269644267,273100000.0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,10,8,2,1,10,7,10,4,3,2,5,4,8,9,36892981.01105422,29656749.941971824,7236231.069082394,0.003999296762547,392623744.3548422,168303079.6125885,224320664.7422537,0.2376709773823803,535300000.0,0.0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,10,7,7,0,10,9,0,3,5,10,1,3,4,1,2,41462677.58134803,41462677.58134803,0.0,0.0,499564935.8558749,94639238.491657,404925697.3642179,0.2982913449994681,369700000.0,0.0
1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,3,4,6,5,4,8,3,10,8,6,1,10,1,10,3,0,51474214.50832445,36548870.83523232,14925343.673092136,0.0009692262534593,100648702.62958768,100648702.62958768,0.0,0.0,557600000.0,1385.048925388527
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,6,4,3,9,6,0,2,5,3,4,6,6,6,3,2,42243308.80988903,41704940.58229576,538368.2275932672,0.0001281493225549,152282974.04150042,114720639.82105856,37562334.22044185,0.0136857723966208,498500000.0,1355.143144124085
